EmbedMethod,ClassMethod,Metric,Value
BagOfWords,LogisticRegression,Accuracy,0.5738
BagOfWords,LogisticRegression,Precision,0.5776
BagOfWords,LogisticRegression,Recall,0.559
BagOfWords,LogisticRegression,Specificity,0.5886
BagOfWords,LDA,Accuracy,0.5686
BagOfWords,LDA,Precision,0.5738
BagOfWords,LDA,Recall,0.544
BagOfWords,LDA,Specificity,0.5933
PCA,LogisticRegression,Accuracy,0.5983
PCA,LogisticRegression,Precision,0.6031
PCA,LogisticRegression,Recall,0.5826
PCA,LogisticRegression,Specificity,0.6141
PCA,LDA,Accuracy,0.5954
PCA,LDA,Precision,0.5996
PCA,LDA,Recall,0.582
PCA,LDA,Specificity,0.6089
PCA,QDA,Accuracy,0.6131
PCA,QDA,Precision,0.6297
PCA,QDA,Recall,0.555
PCA,QDA,Specificity,0.6715
PCA,MDA,Accuracy,0.5908
PCA,MDA,Precision,0.5942
PCA,MDA,Recall,0.5809
PCA,MDA,Specificity,0.6008
PCA,FDA,Accuracy,0.5775
PCA,FDA,Precision,0.5716
PCA,FDA,Recall,0.6298
PCA,FDA,Specificity,0.5249
PCA,Tree,Accuracy,0.5729
PCA,Tree,Precision,0.5668
PCA,Tree,Recall,0.6304
PCA,Tree,Specificity,0.5151
PCA,RF,Accuracy,0.5951
PCA,RF,Precision,0.6119
PCA,RF,Recall,0.5273
PCA,RF,Specificity,0.6634
TFIDF,LogisticRegression,Accuracy,0.57
TFIDF,LogisticRegression,Precision,0.5743
TFIDF,LogisticRegression,Recall,0.5521
TFIDF,LogisticRegression,Specificity,0.5881
TFIDF,LDA,Accuracy,0.5712
TFIDF,LDA,Precision,0.5765
TFIDF,LDA,Recall,0.5463
TFIDF,LDA,Specificity,0.5962
CBoW300,LogisticRegression,Accuracy,0.6067
CBoW300,LogisticRegression,Precision,0.6043
CBoW300,LogisticRegression,Recall,0.5909
CBoW300,LogisticRegression,Specificity,0.6221
CBoW300,LDA,Accuracy,0.6058
CBoW300,LDA,Precision,0.6043
CBoW300,LDA,Recall,0.5856
CBoW300,LDA,Specificity,0.6256
CBoW300,QDA,Accuracy,0.6133
CBoW300,QDA,Precision,0.617
CBoW300,QDA,Recall,0.5733
CBoW300,QDA,Specificity,0.6524
CBoW300,MDA,Accuracy,0.5989
CBoW300,MDA,Precision,0.5901
CBoW300,MDA,Recall,0.616
CBoW300,MDA,Specificity,0.5822
CBoW300,FDA,Accuracy,0.6001
CBoW300,FDA,Precision,0.594
CBoW300,FDA,Recall,0.602
CBoW300,FDA,Specificity,0.5982
CBoW300,Tree,Accuracy,0.5625
CBoW300,Tree,Precision,0.5514
CBoW300,Tree,Recall,0.6143
CBoW300,Tree,Specificity,0.512
CBoW300,RF,Accuracy,0.6102
CBoW300,RF,Precision,0.6067
CBoW300,RF,Recall,0.5996
CBoW300,RF,Specificity,0.6204
CBoW200,LogisticRegression,Accuracy,0.6122
CBoW200,LogisticRegression,Precision,0.6084
CBoW200,LogisticRegression,Recall,0.6037
CBoW200,LogisticRegression,Specificity,0.6204
CBoW200,LDA,Accuracy,0.611
CBoW200,LDA,Precision,0.6071
CBoW200,LDA,Recall,0.6032
CBoW200,LDA,Specificity,0.6187
CBoW200,QDA,Accuracy,0.6154
CBoW200,QDA,Precision,0.6134
CBoW200,QDA,Recall,0.5991
CBoW200,QDA,Specificity,0.6313
CBoW200,MDA,Accuracy,0.6102
CBoW200,MDA,Precision,0.5999
CBoW200,MDA,Recall,0.6335
CBoW200,MDA,Specificity,0.5873
CBoW200,FDA,Accuracy,0.594
CBoW200,FDA,Precision,0.59
CBoW200,FDA,Recall,0.5845
CBoW200,FDA,Specificity,0.6033
CBoW200,Tree,Accuracy,0.5744
CBoW200,Tree,Precision,0.5733
CBoW200,Tree,Recall,0.5418
CBoW200,Tree,Specificity,0.6062
CBoW200,RF,Accuracy,0.6151
CBoW200,RF,Precision,0.6122
CBoW200,RF,Recall,0.6026
CBoW200,RF,Specificity,0.6273
CBoW100,LogisticRegression,Accuracy,0.6093
CBoW100,LogisticRegression,Precision,0.6068
CBoW100,LogisticRegression,Recall,0.5944
CBoW100,LogisticRegression,Specificity,0.6239
CBoW100,LDA,Accuracy,0.6053
CBoW100,LDA,Precision,0.6026
CBoW100,LDA,Recall,0.5903
CBoW100,LDA,Specificity,0.6199
CBoW100,QDA,Accuracy,0.5998
CBoW100,QDA,Precision,0.5918
CBoW100,QDA,Recall,0.6125
CBoW100,QDA,Specificity,0.5873
CBoW100,MDA,Accuracy,0.6058
CBoW100,MDA,Precision,0.5991
CBoW100,MDA,Recall,0.6113
CBoW100,MDA,Specificity,0.6005
CBoW100,FDA,Accuracy,0.5943
CBoW100,FDA,Precision,0.5901
CBoW100,FDA,Recall,0.5856
CBoW100,FDA,Specificity,0.6027
CBoW100,Tree,Accuracy,0.5611
CBoW100,Tree,Precision,0.5659
CBoW100,Tree,Recall,0.4793
CBoW100,Tree,Specificity,0.641
CBoW100,RF,Accuracy,0.6168
CBoW100,RF,Precision,0.6181
CBoW100,RF,Recall,0.5874
CBoW100,RF,Specificity,0.6455
CBoW768,LogisticRegression,Accuracy,0.6053
CBoW768,LogisticRegression,Precision,0.6035
CBoW768,LogisticRegression,Recall,0.5862
CBoW768,LogisticRegression,Specificity,0.6239
CBoW768,LDA,Accuracy,0.6012
CBoW768,LDA,Precision,0.5998
CBoW768,LDA,Recall,0.5798
CBoW768,LDA,Specificity,0.6221
CBoW768,QDA,Accuracy,0.6084
CBoW768,QDA,Precision,0.6276
CBoW768,QDA,Recall,0.5102
CBoW768,QDA,Specificity,0.7043
CBoW768,MDA,Accuracy,0.6061
CBoW768,MDA,Precision,0.6093
CBoW768,MDA,Recall,0.5652
CBoW768,MDA,Specificity,0.6461
CBoW768,FDA,Accuracy,0.6064
CBoW768,FDA,Precision,0.6052
CBoW768,FDA,Recall,0.585
CBoW768,FDA,Specificity,0.6273
CBoW768,Tree,Accuracy,0.5784
CBoW768,Tree,Precision,0.5624
CBoW768,Tree,Recall,0.661
CBoW768,Tree,Specificity,0.4977
CBoW768,RF,Accuracy,0.6136
CBoW768,RF,Precision,0.6103
CBoW768,RF,Recall,0.6032
CBoW768,RF,Specificity,0.6239
SG300,LogisticRegression,Accuracy,0.6246
SG300,LogisticRegression,Precision,0.6252
SG300,LogisticRegression,Recall,0.5996
SG300,LogisticRegression,Specificity,0.649
SG300,LDA,Accuracy,0.626
SG300,LDA,Precision,0.6267
SG300,LDA,Recall,0.6014
SG300,LDA,Specificity,0.6501
SG300,QDA,Accuracy,0.6113
SG300,QDA,Precision,0.6195
SG300,QDA,Recall,0.5529
SG300,QDA,Specificity,0.6684
SG300,MDA,Accuracy,0.6206
SG300,MDA,Precision,0.6145
SG300,MDA,Recall,0.6224
SG300,MDA,Specificity,0.6187
SG300,FDA,Accuracy,0.5957
SG300,FDA,Precision,0.5918
SG300,FDA,Recall,0.5856
SG300,FDA,Specificity,0.6056
SG300,Tree,Accuracy,0.5631
SG300,Tree,Precision,0.5602
SG300,Tree,Recall,0.5383
SG300,Tree,Specificity,0.5873
SG300,RF,Accuracy,0.6208
SG300,RF,Precision,0.6145
SG300,RF,Recall,0.6242
SG300,RF,Specificity,0.6176
SG200,LogisticRegression,Accuracy,0.6105
SG200,LogisticRegression,Precision,0.6076
SG200,LogisticRegression,Recall,0.5973
SG200,LogisticRegression,Specificity,0.6233
SG200,LDA,Accuracy,0.6087
SG200,LDA,Precision,0.6052
SG200,LDA,Recall,0.5985
SG200,LDA,Specificity,0.6187
SG200,QDA,Accuracy,0.6151
SG200,QDA,Precision,0.6181
SG200,QDA,Recall,0.578
SG200,QDA,Specificity,0.6513
SG200,MDA,Accuracy,0.6084
SG200,MDA,Precision,0.6036
SG200,MDA,Recall,0.6043
SG200,MDA,Specificity,0.6124
SG200,FDA,Accuracy,0.583
SG200,FDA,Precision,0.5767
SG200,FDA,Recall,0.5868
SG200,FDA,Specificity,0.5793
SG200,Tree,Accuracy,0.5591
SG200,Tree,Precision,0.5558
SG200,Tree,Recall,0.5359
SG200,Tree,Specificity,0.5816
SG200,RF,Accuracy,0.6211
SG200,RF,Precision,0.615
SG200,RF,Recall,0.6236
SG200,RF,Specificity,0.6187
SG100,LogisticRegression,Accuracy,0.6122
SG100,LogisticRegression,Precision,0.6082
SG100,LogisticRegression,Recall,0.6043
SG100,LogisticRegression,Specificity,0.6199
SG100,LDA,Accuracy,0.6125
SG100,LDA,Precision,0.6082
SG100,LDA,Recall,0.6061
SG100,LDA,Specificity,0.6187
SG100,QDA,Accuracy,0.6154
SG100,QDA,Precision,0.6012
SG100,QDA,Recall,0.6581
SG100,QDA,Specificity,0.5736
SG100,MDA,Accuracy,0.6096
SG100,MDA,Precision,0.6048
SG100,MDA,Recall,0.6055
SG100,MDA,Specificity,0.6136
SG100,FDA,Accuracy,0.5908
SG100,FDA,Precision,0.5891
SG100,FDA,Recall,0.5681
SG100,FDA,Specificity,0.613
SG100,Tree,Accuracy,0.5686
SG100,Tree,Precision,0.5745
SG100,Tree,Recall,0.4892
SG100,Tree,Specificity,0.6461
SG100,RF,Accuracy,0.624
SG100,RF,Precision,0.6217
SG100,RF,Recall,0.6108
SG100,RF,Specificity,0.637
SG768,LogisticRegression,Accuracy,0.6087
SG768,LogisticRegression,Precision,0.6088
SG768,LogisticRegression,Recall,0.5821
SG768,LogisticRegression,Specificity,0.6347
SG768,LDA,Accuracy,0.6128
SG768,LDA,Precision,0.6131
SG768,LDA,Recall,0.5862
SG768,LDA,Specificity,0.6387
SG768,QDA,Accuracy,0.6165
SG768,QDA,Precision,0.6281
SG768,QDA,Recall,0.5488
SG768,QDA,Specificity,0.6826
SG768,MDA,Accuracy,0.5908
SG768,MDA,Precision,0.5868
SG768,MDA,Recall,0.5809
SG768,MDA,Specificity,0.6005
SG768,FDA,Accuracy,0.6003
SG768,FDA,Precision,0.5938
SG768,FDA,Recall,0.6049
SG768,FDA,Specificity,0.5959
SG768,Tree,Accuracy,0.568
SG768,Tree,Precision,0.5715
SG768,Tree,Recall,0.502
SG768,Tree,Specificity,0.6324
SG768,RF,Accuracy,0.6208
SG768,RF,Precision,0.6157
SG768,RF,Recall,0.6189
SG768,RF,Specificity,0.6227
GloVe300,LogisticRegression,Accuracy,0.6003
GloVe300,LogisticRegression,Precision,0.5937
GloVe300,LogisticRegression,Recall,0.6055
GloVe300,LogisticRegression,Specificity,0.5953
GloVe300,LDA,Accuracy,0.5977
GloVe300,LDA,Precision,0.5904
GloVe300,LDA,Recall,0.6067
GloVe300,LDA,Specificity,0.589
GloVe300,QDA,Accuracy,0.5983
GloVe300,QDA,Precision,0.5877
GloVe300,QDA,Recall,0.6265
GloVe300,QDA,Specificity,0.5708
GloVe300,MDA,Accuracy,0.5885
GloVe300,MDA,Precision,0.5813
GloVe300,MDA,Recall,0.5979
GloVe300,MDA,Specificity,0.5793
GloVe300,FDA,Accuracy,0.5692
GloVe300,FDA,Precision,0.5623
GloVe300,FDA,Recall,0.5774
GloVe300,FDA,Specificity,0.5611
GloVe300,Tree,Accuracy,0.5342
GloVe300,Tree,Precision,0.5277
GloVe300,Tree,Recall,0.5447
GloVe300,Tree,Specificity,0.524
GloVe300,RF,Accuracy,0.5804
GloVe300,RF,Precision,0.5739
GloVe300,RF,Recall,0.5856
GloVe300,RF,Specificity,0.5753
GloVe200,LogisticRegression,Accuracy,0.5902
GloVe200,LogisticRegression,Precision,0.5835
GloVe200,LogisticRegression,Recall,0.5961
GloVe200,LogisticRegression,Specificity,0.5845
GloVe200,LDA,Accuracy,0.5923
GloVe200,LDA,Precision,0.5851
GloVe200,LDA,Recall,0.6008
GloVe200,LDA,Specificity,0.5839
GloVe200,QDA,Accuracy,0.5836
GloVe200,QDA,Precision,0.5705
GloVe200,QDA,Recall,0.6365
GloVe200,QDA,Specificity,0.532
GloVe200,MDA,Accuracy,0.5703
GloVe200,MDA,Precision,0.5648
GloVe200,MDA,Recall,0.5681
GloVe200,MDA,Specificity,0.5725
GloVe200,FDA,Accuracy,0.5793
GloVe200,FDA,Precision,0.5727
GloVe200,FDA,Recall,0.5845
GloVe200,FDA,Specificity,0.5742
GloVe200,Tree,Accuracy,0.5461
GloVe200,Tree,Precision,0.5425
GloVe200,Tree,Recall,0.519
GloVe200,Tree,Specificity,0.5725
GloVe200,RF,Accuracy,0.5822
GloVe200,RF,Precision,0.5763
GloVe200,RF,Recall,0.5827
GloVe200,RF,Specificity,0.5816
GloVe100,LogisticRegression,Accuracy,0.592
GloVe100,LogisticRegression,Precision,0.5825
GloVe100,LogisticRegression,Recall,0.6148
GloVe100,LogisticRegression,Specificity,0.5696
GloVe100,LDA,Accuracy,0.5925
GloVe100,LDA,Precision,0.5827
GloVe100,LDA,Recall,0.6178
GloVe100,LDA,Specificity,0.5679
GloVe100,QDA,Accuracy,0.5897
GloVe100,QDA,Precision,0.5698
GloVe100,QDA,Recall,0.692
GloVe100,QDA,Specificity,0.4897
GloVe100,MDA,Accuracy,0.5842
GloVe100,MDA,Precision,0.5748
GloVe100,MDA,Recall,0.6084
GloVe100,MDA,Specificity,0.5605
GloVe100,FDA,Accuracy,0.5839
GloVe100,FDA,Precision,0.5748
GloVe100,FDA,Recall,0.6067
GloVe100,FDA,Specificity,0.5616
GloVe100,Tree,Accuracy,0.5611
GloVe100,Tree,Precision,0.5576
GloVe100,Tree,Recall,0.54
GloVe100,Tree,Specificity,0.5816
GloVe100,RF,Accuracy,0.6038
GloVe100,RF,Precision,0.5968
GloVe100,RF,Recall,0.6108
GloVe100,RF,Specificity,0.597
GloVe785,LogisticRegression,Accuracy,0.5937
GloVe785,LogisticRegression,Precision,0.5891
GloVe785,LogisticRegression,Recall,0.5874
GloVe785,LogisticRegression,Specificity,0.5999
GloVe785,LDA,Accuracy,0.5917
GloVe785,LDA,Precision,0.5867
GloVe785,LDA,Recall,0.5874
GloVe785,LDA,Specificity,0.5959
GloVe785,QDA,Accuracy,0.6107
GloVe785,QDA,Precision,0.6084
GloVe785,QDA,Recall,0.5956
GloVe785,QDA,Specificity,0.6256
GloVe785,MDA,Accuracy,0.5833
GloVe785,MDA,Precision,0.5814
GloVe785,MDA,Recall,0.5593
GloVe785,MDA,Specificity,0.6067
GloVe785,FDA,Accuracy,0.5634
GloVe785,FDA,Precision,0.5552
GloVe785,FDA,Recall,0.5845
GloVe785,FDA,Specificity,0.5428
GloVe785,Tree,Accuracy,0.5256
GloVe785,Tree,Precision,0.5201
GloVe785,Tree,Recall,0.5143
GloVe785,Tree,Specificity,0.5365
GloVe785,RF,Accuracy,0.5975
GloVe785,RF,Precision,0.5943
GloVe785,RF,Recall,0.5839
GloVe785,RF,Specificity,0.6107
BERT,LogisticRegression,Accuracy,0.6093
BERT,LogisticRegression,Precision,0.609
BERT,LogisticRegression,Recall,0.5845
BERT,LogisticRegression,Specificity,0.6336
BERT,LDA,Accuracy,0.6116
BERT,LDA,Precision,0.6117
BERT,LDA,Recall,0.5856
BERT,LDA,Specificity,0.637
BERT,QDA,Accuracy,0.6223
BERT,QDA,Precision,0.6279
BERT,QDA,Recall,0.578
BERT,QDA,Specificity,0.6655
BERT,MDA,Accuracy,0.6151
BERT,MDA,Precision,0.616
BERT,MDA,Recall,0.5868
BERT,MDA,Specificity,0.6427
BERT,FDA,Accuracy,0.5897
BERT,FDA,Precision,0.5858
BERT,FDA,Recall,0.5786
BERT,FDA,Specificity,0.6005
BERT,Tree,Accuracy,0.5677
BERT,Tree,Precision,0.5558
BERT,Tree,Recall,0.623
BERT,Tree,Specificity,0.5137
BERT,RF,Accuracy,0.6107
BERT,RF,Precision,0.6072
BERT,RF,Recall,0.6008
BERT,RF,Specificity,0.6204
