ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
LogisticRegression,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
LDA,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
QDA,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
MDA,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
FDA,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
Tree,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
RF,TF-IDF,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
LogisticRegression,TF-IDF,4298,36918.972,Yes,Yes,Yes,5,0.57,0.5743,0.5521,0.5881
LDA,TF-IDF,4298,1997.8146,Yes,Yes,Yes,5,0.5712,0.5765,0.5463,0.5962
QDA,TF-IDF,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
MDA,TF-IDF,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
FDA,TF-IDF,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
Tree,TF-IDF,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
RF,TF-IDF,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
LogisticRegression,TF-IDF,899,367.51836,Yes,Yes,Yes,30,0.6083,0.6129,0.5689,0.647
LDA,TF-IDF,899,111.2808,Yes,Yes,Yes,30,0.6106,0.6153,0.5718,0.6487
QDA,TF-IDF,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
MDA,TF-IDF,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
FDA,TF-IDF,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
Tree,TF-IDF,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
RF,TF-IDF,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,413,67.39128,Yes,Yes,Yes,60,0.6084,0.6101,0.56,0.6551
LDA,TF-IDF,413,29.57142,Yes,Yes,Yes,60,0.6084,0.6098,0.5612,0.654
QDA,TF-IDF,413,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
MDA,TF-IDF,413,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
FDA,TF-IDF,413,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
Tree,TF-IDF,413,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
RF,TF-IDF,413,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
LogisticRegression,TF-IDF,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
LDA,TF-IDF,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
